Original Repo Name,Stars,Family Count (All Forks),Family Count (Stars >= 10),Family Repo Names (Stars >= 10),Commit Count where from_repo contains original repo,Commit Count total commits (all chunks for repo),Forks with Unique Commits Count,PR Coverage Ratio,PR Merge Rate
blynkkk/blynk-library,3952,1404,0,,2064,2064,0,,0.4574468085
boazsegev/facil.io,2349,174,0,,3013,3013,0,,0.6329113924
bol-van/zapret,13481,1045,4,IndeecFOX/zapret4rocket;ValdikSS/zapret;tachigami/zapret-keenetic;rosakodu/zapretdeck,905,2836,4,0.5,0.4955752212
bombela/backward-cpp,4190,556,0,,386,386,0,,0.7189189189
boostorg/beast,4711,697,2,vinniefalco/beast;vimpunk/beast-asio-standalone,2495,2518,2,0.5,0.4706533776
bootleg/ret-sync,2254,281,1,calladoum-elastic/ret-sync,179,213,1,0,0.5384615385
bozbez/win-capture-audio,3969,211,1,nyakowint/win-capture-audio,84,92,1,0,0.5853658537
bpftrace/bpftrace,9791,1422,0,,4959,4959,0,,0.8510976774
brendan-rius/c-jwt-cracker,2515,319,0,,23,23,0,,0.4
brndnmtthws/conky,8038,640,1,Conky-for-macOS/conky-for-macOS,5027,5126,1,1,0.7397504456
browseros-ai/BrowserOS,8094,779,0,,1408,1408,0,,0.5740740741
brunodev85/winlator,15679,795,15,coffincolors/winlator;MrPhryaNikFrosty/Winlator-Frost;afeimod/winlator-mod;longjunyu2/winlator;Fcharan/WinlatorMali;ajay9634/winlator-ajay;jacojayy/winlator-omod;REF4IK/Wiinlator-Ref4ik-;tinyproot/winlator;XHYN-PH/winlator-mod;Honkonx/winlator-honkon;emuCNmod/winlator-CN;ewt45/winlator-fork;c0ffincolors/winlator;ar37-rs/winlator_mali,96,2181,13,0.2666666667,0.1355932203
buaazp/zimg,2687,404,0,,384,384,0,,0.6363636364
bulletphysics/bullet3,14037,2952,3,erincatto/bullet3;wolfviking0/webcl-bullet3;lunkhound/bullet3,9408,9560,3,0.3333333333,0.788630491
but0n/Avem,2594,561,0,,297,297,0,,0.3333333333
bvschaik/julius,3115,198,2,Keriew/augustus;devnoname120/julius,2761,6700,2,1,0.8095238095
bytecodealliance/wasm-micro-runtime,5666,729,0,,3012,3012,0,,0.8982314614
bytedance/bhook,2405,383,0,,98,98,0,,0.5
bytedance/lightseq,3299,331,0,,1124,1124,0,,0.7933884298
bztsrc/raspi3-tutorial,2958,343,1,wimvanderbauwhede/raspi3-tutorial,136,136,0,0,0.5714285714
c3lang/c3c,4595,312,1,tsoding/c3c,3757,3760,1,1,0.8702559576
cactus-compute/cactus,3848,263,0,,1430,1430,0,,0.6845238095
callmePicacho/Data-Structres,3685,516,0,,21,21,0,,1
cameron314/concurrentqueue,11842,1881,2,KjellKod/Moody-Camel-s-concurrentqueue;hjk41/concurrentqueue,301,301,0,0,0.6097560976
cameron314/readerwriterqueue,4394,715,0,,170,170,0,,0.7
canonical/dqlite,4237,241,0,,2129,2129,0,,0.9099526066
canonical/multipass,8811,790,1,ncry-arch/multipass,16573,16573,0,0,0.812267658
capnproto/capnproto,12701,996,0,,5998,5998,0,,0.8275
capstone-engine/capstone,8422,1576,5,frida/capstone;mattifestation/capstone;tandasat/capstone;bughoho/capstone;stevemk14ebr/capstone,7939,8201,5,0.8,0.8250175685
carbon-language/carbon-lang,33522,1602,1,chandlerc/carbon-lang,4730,5273,1,1,0.8923364486
